,latitude,longitude,azimuth,elevation
187,35.64524617,75.04633720,348.46,50.63
188,35.52954651,75.01066282,347.88,51.23
189,35.41384115,74.97506745,347.28,51.83
190,35.29812783,74.93954982,346.66,52.44
191,35.18240658,74.90410938,346.01,53.05
192,35.12454067,74.88641723,345.68,53.36
193,35.00880762,74.85109158,344.98,53.98
194,34.89306675,74.81584176,344.26,54.60
195,34.77731813,74.78066726,343.51,55.22
196,34.66156178,74.74556754,342.72,55.84
197,34.54579543,74.71054137,341.89,56.47
198,34.48791055,74.69305632,341.46,56.78
199,34.37213510,74.65814127,340.58,57.41
200,34.25635208,74.62329917,339.65,58.03
201,34.14055921,74.58852883,338.68,58.66
202,34.02476120,74.55383113,337.67,59.29
203,33.96685940,74.53650910,337.14,59.60
204,33.85105025,74.50191837,336.05,60.22
205,33.73523140,74.46739764,334.90,60.84
206,33.61940756,74.43294780,333.70,61.45
207,33.50357643,74.39856767,332.43,62.05
208,33.44565814,74.38140359,331.77,62.35
209,33.32981384,74.34712641,330.41,62.95
210,33.21396468,74.31291843,328.98,63.53
211,33.09810838,74.27877846,327.47,64.11
212,33.04017757,74.26173384,326.69,64.39
213,32.92431065,74.22769501,325.07,64.95
214,32.80843436,74.19372235,323.37,65.49
215,32.69255341,74.15981674,321.59,66.01
216,32.57666317,74.12597637,319.72,66.52
217,32.51871895,74.10908177,318.75,66.76
218,32.40281836,74.07533941,316.74,67.23
219,32.28691324,74.04166251,314.65,67.68
220,32.17100131,74.00804992,312.46,68.10
221,32.05508028,73.97450054,310.18,68.49
222,31.93915484,73.94101526,307.82,68.86
223,31.88118960,73.92429628,306.60,69.02
224,31.76525414,73.89090533,304.11,69.33
225,31.64930970,73.85757604,301.55,69.61
226,31.53336099,73.82430934,298.91,69.84
227,31.41740573,73.79110410,296.21,70.04
228,31.35942564,73.77452441,294.84,70.12
229,31.24345827,73.74140992,292.07,70.25
230,31.12748677,73.70835652,289.27,70.34
231,31.01150884,73.67536311,286.45,70.38
232,30.89552452,73.64242928,283.62,70.38
233,30.77953385,73.60955461,280.79,70.33
234,30.72153380,73.59313868,279.39,70.29
235,30.60553367,73.56035200,276.60,70.18
236,30.48952727,73.52762346,273.86,70.03
237,30.37351465,73.49495267,271.16,69.83
238,30.25749351,73.46233856,268.53,69.59
239,30.19948179,73.44605321,267.24,69.46
240,30.08345377,73.41352503,264.72,69.16
241,29.96741964,73.38105320,262.27,68.83
242,29.85137712,73.34863668,259.91,68.47
243,29.73533091,73.31627639,257.64,68.07
244,29.61927871,73.28397129,255.46,67.65
245,29.50321822,73.25172035,253.37,67.20
246,29.44518691,73.23561563,252.36,66.96
247,29.32911989,73.20344684,250.41,66.48
248,29.21304699,73.17133190,248.54,65.97
249,29.09696593,73.13926981,246.76,65.45
250,28.98088140,73.10726147,245.07,64.91
251,28.92283697,73.09127711,244.25,64.63
252,28.80674381,73.05934776,242.67,64.07
253,28.69064260,73.02746997,241.17,63.49
254,28.57453805,72.99564465,239.74,62.90
255,28.45842785,72.96387081,238.39,62.31
256,28.34231204,72.93214808,237.09,61.70
257,28.28424970,72.91630514,236.47,61.40
258,28.16812553,72.88465842,235.27,60.79
259,28.05199584,72.85306194,234.12,60.17
260,27.93586065,72.82151533,233.03,59.55
261,27.81972000,72.79001827,232.00,58.92
262,27.70357158,72.75856976,231.00,58.30
263,27.64549651,72.74286416,230.53,57.98
264,27.52934235,72.71148942,229.60,57.36
265,27.41318284,72.68016302,228.72,56.73
266,27.29701568,72.64888399,227.88,56.10
267,27.18084557,72.61765325,227.07,55.48
268,27.06467022,72.58646984,226.30,54.85
