,latitude,longitude,azimuth,elevation
186,35.18939917,71.72468394,324.34,56.44
187,35.07366087,71.68931330,323.11,56.90
188,34.95791244,71.65401812,321.84,57.35
189,34.90003648,71.63639928,321.19,57.57
190,34.78427874,71.60121805,319.85,58.01
191,34.66851331,71.56611165,318.47,58.43
192,34.61062772,71.54858635,317.76,58.63
193,34.49484849,71.51359051,316.32,59.04
194,34.37906401,71.47866890,314.83,59.43
195,34.32116894,71.46123551,314.06,59.61
196,34.20537316,71.42642322,312.51,59.98
197,34.14747013,71.40904351,311.71,60.15
198,34.03166316,71.37433940,310.09,60.49
199,33.91584877,71.33970678,308.43,60.81
200,33.80002701,71.30514514,306.72,61.11
201,33.74211106,71.28789009,305.85,61.25
202,33.62627833,71.25343401,304.09,61.51
203,33.51043834,71.21904768,302.29,61.75
204,33.45251563,71.20188052,301.37,61.87
205,33.33666250,71.16759722,299.52,62.07
206,33.22080454,71.13338315,297.64,62.25
207,33.16287289,71.11630167,296.69,62.33
208,33.04700428,71.08218951,294.78,62.47
209,32.93112861,71.04814472,292.84,62.58
210,32.87318815,71.03114743,291.86,62.63
211,32.75729965,70.99720210,289.90,62.70
212,32.64140653,70.96332365,287.93,62.74
213,32.58345737,70.94640909,286.95,62.75
214,32.46755390,70.91262906,284.97,62.75
215,32.35164125,70.87891338,283.00,62.73
216,32.29368353,70.86208014,282.02,62.70
217,32.17776302,70.82846186,280.06,62.63
218,32.06183575,70.79490750,278.11,62.53
219,32.00386726,70.77815348,277.14,62.47
220,31.88792994,70.74469416,275.23,62.33
221,31.77198596,70.71129767,273.33,62.16
222,31.71401149,70.69462284,272.40,62.07
223,31.59805528,70.66131907,270.54,61.86
224,31.48209484,70.62807771,268.73,61.64
225,31.42411218,70.61148004,267.83,61.51
226,31.30814198,70.57833047,266.07,61.25
227,31.19216298,70.54524089,264.34,60.96
228,31.13417458,70.52871972,263.49,60.81
229,31.01818596,70.49572036,261.83,60.49
230,30.90219332,70.46278128,260.20,60.15
231,30.84419462,70.44633397,259.41,59.98
232,30.72819249,70.41348354,257.85,59.61
233,30.61218176,70.38069104,256.34,59.23
234,30.55417522,70.36431696,255.60,59.04
235,30.43815748,70.33161225,254.15,58.63
236,30.32213356,70.29896511,252.75,58.22
237,30.26411696,70.28266236,252.06,58.00
238,30.14808383,70.25010084,250.73,57.57
239,30.03204461,70.21759592,249.43,57.12
240,29.97402273,70.20136455,248.80,56.89
241,29.85797211,70.16894312,247.57,56.43
242,29.74191782,70.13657794,246.38,55.96
243,29.68388843,70.12041609,245.80,55.73
244,29.56782521,70.08813361,244.66,55.24
245,29.45175374,70.05590514,243.57,54.76
246,29.39371930,70.03981225,243.04,54.51
247,29.27763902,70.00766504,242.00,54.02
248,29.16155525,69.97557219,241.00,53.52
249,29.10351120,69.95954579,240.51,53.27
250,28.98741876,69.92753280,239.55,52.76
251,28.87131824,69.89557195,238.63,52.25
252,28.81326701,69.87961153,238.19,52.00
253,28.69716029,69.84772980,237.31,51.49
254,28.58104791,69.81589995,236.47,50.98
255,28.52298727,69.80000372,236.06,50.72
256,28.40686648,69.76825099,235.25,50.21
257,28.29074012,69.73654924,234.48,49.70
258,28.23267486,69.72071736,234.10,49.44
259,28.11653786,69.68909076,233.36,48.93
260,28.05846848,69.67329659,233.00,48.67
261,27.94232561,69.64174563,232.30,48.16
262,27.82617730,69.61024423,231.62,47.65
263,27.76810112,69.59451202,231.29,47.40
264,27.65194472,69.56308432,230.64,46.89
265,27.53578063,69.53170471,230.02,46.39
266,27.47769775,69.51603338,229.71,46.14
267,27.36152803,69.48472681,229.12,45.64
268,27.24535304,69.45346811,228.54,45.14
269,27.18726124,69.43785598,228.25,44.89
270,27.07107839,69.40666844,227.70,44.40
271,26.95489036,69.37552794,227.17,43.91
272,26.89679440,69.35997522,226.91,43.66
273,26.78059630,69.32890401,226.40,43.18
274,26.72249650,69.31338607,226.15,42.94
275,26.60629308,69.28238468,225.66,42.46
276,26.49008460,69.25142901,225.18,41.98
277,26.43197847,69.23596823,224.95,41.75
278,26.31576011,69.20507992,224.50,41.28
279,26.19953910,69.17423716,224.06,40.81
280,26.14142673,69.15883253,223.84,40.58
281,26.02519830,69.12805657,223.42,40.12
282,25.90896263,69.09732412,223.01,39.66
283,25.85084413,69.08197467,222.81,39.44
284,25.73460348,69.05130846,222.42,38.99
285,25.67648135,69.03599164,222.22,38.77
286,25.56023113,69.00538975,221.85,38.32
287,25.44397846,68.97483138,221.48,37.88
288,25.38585034,68.95956819,221.30,37.67
289,25.26959055,68.92907360,220.95,37.24
290,25.15332372,68.89862055,220.60,36.81
291,25.09519205,68.88341066,220.43,36.60
292,24.97891821,68.85302027,220.10,36.17
293,24.86264207,68.82267189,219.78,35.76
294,24.80450227,68.80751314,219.62,35.55
295,24.68821923,68.77722631,219.31,35.14
296,24.57192929,68.74697955,219.01,34.73
297,24.51378379,68.73187163,218.86,34.53
298,24.39748941,68.70168593,218.57,34.13
299,24.28119054,68.67154018,218.28,33.74
300,24.22303709,68.65648159,218.15,33.54
301,24.10673155,68.62639522,217.87,33.15
302,23.99042159,68.59634808,217.60,32.77
303,23.93226497,68.58133914,217.47,32.58
304,23.81594611,68.55134972,217.21,32.20
305,23.69962525,68.52139943,216.96,31.82
306,23.64146320,68.50643865,216.84,31.64
307,23.52513588,68.47654563,216.59,31.27
308,23.40880195,68.44668986,216.35,30.90
309,23.35063691,68.43177697,216.24,30.72
310,23.23429663,68.40197744,216.01,30.36
311,23.11795450,68.37221566,215.78,30.01
312,23.05978187,68.35734862,215.67,29.83
313,22.94343350,68.32764207,215.45,29.48
314,22.82707866,68.29797141,215.24,29.14
315,22.76890087,68.28314997,215.13,28.97
316,22.65254224,68.25353412,214.93,28.63
317,22.59436140,68.23873965,214.82,28.46
318,22.47799435,68.20917684,214.62,28.12
319,22.36162563,68.17965005,214.43,27.79
320,22.30343977,68.16489985,214.33,27.63
321,22.18706508,68.13542571,214.14,27.30
322,22.07068411,68.10598574,213.95,26.98
323,22.01249333,68.09127902,213.86,26.82
324,21.89610883,68.06189133,213.68,26.50
325,21.77972046,68.03253778,213.50,26.19
